id,produkt_name,EAN,Verkaufspreis,Beschreibung
1,"Leifheit Classic XL Bodenwischer","4006501552105","23.90","Farbe: Blau/Weiss | Typ: Bodenwischer (Teleskop) | Anzahl: 1 Stück | Wischbreite: 42 cm; ideal für Hartböden."
2,"Swiffer Dry Wipes (80 Stk.)","5410076302475","27.95","Farbe: Weiss | Typ: Trockene Bodentücher | Anzahl: 80 Stück | Einweg-Tücher für Staub/Haare; kompatibel mit Swiffer-Bodenwischer."
3,"Finish Powerball Tabs Classic (35 Waschgänge)","4251758400291","8.80","Farbe: n/a | Typ: Geschirrspül-Tabs | Anzahl: 35 Tabs | Classic-Rezeptur; für alle Spülmaschinen geeignet."
4,"Roborock S8 MaxV Ultra Saug-Wischroboter","6970995788464","749.00","Farbe: Weiss ODER Schwarz (Variante) | Typ: Saugwischroboter mit Auto-Leerung & Auto-Wischpflege | Anzahl: 1 Gerät + Basisstation | 10’000 Pa max. Saugkraft, LiDAR-Navigation, 180 min Akku, 0.27 l Staubbehälter; Smart-Home (Alexa/Google/Apple)."
5,"Wipex Putztuch STAR blau 1-lagig (20x25 Tücher)","4250139200345","99.82","Farbe: Blau | Typ: Reinigungstuch (Industrie) | Anzahl: 20x25 Tücher | Lösemittelbeständig; robuste PP-Faser."
6,"HP Autozubehör Schrubber Kunststofffaser, Holzgriff","4250560514639","24.00","Farbe: Blau/Holz natur | Typ: Reinigungsbürste (Schrubber) | Anzahl: 1 Stück | Kunststoffborsten; Gewinde-Aufnahme; ca. 220 mm."
7,"Vermop Reinigungswagenset, 2×17 l, Presse/Stielhalter","4006533058422","241.13","Farbe: Grau/Blau | Typ: Reinigungswagen-Set | Anzahl: 1 Set (2×17 l Eimer + Presse + Halter) | Für gewerbliche Unterhaltsreinigung."
8,"3M Versaflo Mehrweghaube S60710","4046719252480","50.35","Farbe: Weiss | Typ: Mehrweg-/Überziehhaube (Atemschutz-System) | Anzahl: 1 Stück | Für Versaflo-Systeme; mechanischer Schutz, komfortabler Sitz."
9,"Rothenberger Rohrreinigungsspirale S-SMK A","4004625724446","42.10","Farbe: Metall | Typ: Rohrreinigungsspirale | Anzahl: 1 Stück | Für Abfluss-/Rohrreinigung im Sanitärbereich; professionelle Qualität."
10,"Leifheit Classic XL Microfibre Mop-Bezug","4006501552112","8.90","Farbe: Weiss/Blau | Typ: Mikrofasermopp-Bezug | Anzahl: 1 Stück | Passend für Leifheit Classic XL (42 cm); hohe Schmutzaufnahme."
